Symbol,Security,Price,Chg,% Chg,High,Low,Volume,Mkt Cap,1 Year
ORG.AX,Origin Energy Ltd,$12.07,-0.03,-0.25%,$12.24,$12.00,"2,236,744",$21B,0.1344
PDN.AX,Paladin Energy Ltd,$11.97,0.45,0.0391,$12.33,$11.925,"1,714,007",$5.4B,0.9785
PRN.AX,Perenti Ltd,$1.89,0.04,0.0216,$1.945,$1.88,"1,528,326",$1.8B,0.3796
PPT.AX,Perpetual Ltd,$16.65,0.08,0.0048,$16.75,$16.57,"258,152",$1.9B,0.0091
PRU.AX,Perseus Mining Ltd,$5.40,-0.03,-0.55%,$5.61,$5.39,"3,198,771",$7.3B,0.6024
PXA.AX,Pexa Group Ltd,$12.47,-0.08,-0.64%,$12.70,$12.375,"204,624",$2.2B,0.0247
PNI.AX,Pinnacle Investment Management Group Ltd,$14.88,0.06,0.0041,$15.37,$14.80,"741,244",$3.6B,-18.47%
PLS.AX,PLS Group Ltd,$6.14,0.12,0.0199,$6.165,$6.09,"21,146,248",$20B,3.2055
PDI.AX,Predictive Discovery Ltd,$0.91,-0.015,-1.62%,$0.95,$0.91,"18,658,170",$4.5B,1.4932
PMV.AX,Premier Investments Ltd,$12.29,0,0,$12.49,$12.17,"205,977",$2B,-41.92%
PME.AX,Pro Medicus Ltd,$136.16,1.76,0.0131,$138.12,$134.74,"158,066",$14B,-41.88%
QAN.AX,Qantas Airways Ltd,$8.48,0.07,0.0083,$8.53,$8.415,"3,083,038",$13B,-5.46%
QBE.AX,QBE Insurance Group Ltd,$22.47,0.13,0.0058,$22.65,$22.23,"1,723,454",$34B,0.0476
QUB.AX,QUBE Holdings Ltd,$5.02,-0.02,-0.40%,$5.02,$5.01,"2,265,441",$8.9B,0.2426
RMS.AX,Ramelius Resources Ltd,$3.40,0.04,0.0119,$3.53,$3.385,"4,308,818",$6.5B,0.2782
RHC.AX,Ramsay Health Care Ltd,$38.27,-0.71,-1.82%,$39.14,$38.21,"527,652",$8.8B,0.1363
REA.AX,REA Group Ltd,$170.33,0.48,0.0028,$172.22,$169.31,"194,539",$22B,-31.64%
REH.AX,Reece Ltd,$13.80,0.09,0.0066,$13.99,$13.645,"303,373",$8.5B,-15.39%
RGN.AX,Region Group,$2.33,0.02,0.0087,$2.34,$2.30,"1,598,993",$2.7B,0.0043
REG.AX,Regis Healthcare Ltd,$6.69,0.06,0.0091,$6.74,$6.51,"683,637",$2B,-7.60%
RRL.AX,Regis Resources Ltd,$7.06,0.14,0.0202,$7.28,$7.00,"1,884,224",$5.3B,0.6119
RWC.AX,Reliance Worldwide Corporation Ltd,$3.30,0.05,0.0154,$3.38,$3.28,"3,159,794",$2.5B,-22.90%
RMD.AX,Resmed Inc,$28.73,-1.05,-3.53%,$29.95,$28.40,"3,443,745",$16B,-22.14%
RSG.AX,Resolute Mining Ltd,$1.185,0.025,0.0216,$1.23,$1.16,"5,547,898",$2.5B,1.37
RIO.AX,RIO Tinto Ltd,$171.97,4.57,0.0273,$174.31,$171.70,"879,834",$64B,0.4838
RYM.AX,Ryman Healthcare Ltd,$1.775,0.065,0.038,$1.775,$1.775,"2,000",$1.8B,-22.15%
SFR.AX,Sandfire Resources Ltd,$16.78,0.47,0.0288,$17.01,$16.46,"1,761,916",$7.8B,0.6967
STO.AX,Santos Ltd,$8.02,0.02,0.0025,$8.02,$7.93,"8,760,175",$26B,0.3547
SCG.AX,Scentre Group,$3.77,0.06,0.0162,$3.795,$3.70,"11,353,017",$20B,0.0472
SEK.AX,Seek Ltd,$13.84,0,0,$14.02,$13.67,"711,797",$4.9B,-36.13%
SGH.AX,SGH Ltd,$40.00,1.26,0.0325,$40.01,$38.71,"572,095",$16B,-22.90%
SIG.AX,Sigma Healthcare Ltd,$2.81,0.02,0.0072,$2.82,$2.79,"8,354,663",$32B,-6.64%
SGM.AX,Sims Ltd,$21.30,0.62,0.03,$21.67,$20.75,"418,060",$4.1B,0.449
SHL.AX,Sonic Healthcare Ltd,$19.96,0.19,0.0096,$19.98,$19.79,"1,000,607",$9.9B,-22.46%
S32.AX,SOUTH32 Ltd,$4.12,0.09,0.0223,$4.15,$4.09,"11,594,039",$18B,0.5036
SPK.AX,Spark New Zealand Ltd,$1.705,0.005,0.0029,$1.71,$1.685,"796,968",$3.2B,-12.56%
SRG.AX,SRG Global Ltd,$2.96,0.08,0.0278,$2.98,$2.91,"1,623,299",$1.9B,1.2769
SMR.AX,Stanmore Resources Ltd,$2.32,-0.01,-0.43%,$2.39,$2.32,"1,684,357",$2.1B,0.1777
SDF.AX,Steadfast Group Ltd,$4.20,-0.04,-0.94%,$4.30,$4.15,"2,308,164",$4.7B,-28.81%
SGP.AX,Stockland,$4.05,0,0,$4.07,$3.99,"6,996,789",$9.8B,-25.82%
SUN.AX,Suncorp Group Ltd,$17.13,0.02,0.0012,$17.25,$16.99,"2,211,766",$19B,-15.11%
SRL.AX,Sunrise Energy Metals Ltd,$12.00,-0.44,-3.54%,$12.75,$11.93,"210,206",$1.8B,#ERROR!
SUL.AX,Super Retail Group Ltd,$12.06,0.23,0.0194,$12.08,$11.89,"471,330",$2.7B,-10.73%
TAH.AX,Tabcorp Holdings Ltd,$1.165,0.04,0.0356,$1.17,$1.11,"5,633,968",$2.7B,1.0261
TNE.AX,Technology One Ltd,$27.95,-0.04,-0.14%,$28.39,$27.61,"939,465",$9.1B,-9.31%
TLX.AX,TELIX Pharmaceuticals Ltd,$15.57,0.57,0.038,$15.63,$15.32,"1,367,687",$5.3B,-44.37%
TLS.AX,Telstra Group Ltd,$5.37,0.05,0.0094,$5.37,$5.31,"12,384,828",$60B,0.1828
A2M.AX,The a2 Milk Company Ltd,$7.27,0.19,0.0268,$7.31,$7.08,"1,524,282",$5.3B,-13.56%
TLC.AX,The Lottery Corporation Ltd,$5.53,0.01,0.0018,$5.56,$5.44,"2,505,116",$12B,0.0635
TPG.AX,TPG Telecom Ltd,$4.20,0.01,0.0024,$4.23,$4.16,"2,609,428",$8.2B,-17.32%
TCL.AX,Transurban Group,$14.06,0.06,0.0043,$14.12,$13.97,"2,800,841",$44B,-1.40%
TWE.AX,Treasury Wine Estates Ltd,$4.29,-0.04,-0.92%,$4.38,$4.26,"2,910,540",$3.5B,-51.91%
TUA.AX,Tuas Ltd,$6.03,0.12,0.0203,$6.03,$5.93,"232,320",$3.3B,0.0635
VAU.AX,Vault Minerals Ltd,$4.52,0.03,0.0067,$4.68,$4.47,"2,928,543",$4.7B,0.6172
VNT.AX,Ventia Services Group Ltd,$5.42,0.12,0.0226,$5.43,$5.34,"1,198,924",$4.5B,0.2693
VCX.AX,Vicinity Centres,$2.54,0.03,0.012,$2.55,$2.51,"6,955,610",$12B,0.0717
VEA.AX,Viva Energy Group Ltd,$2.50,0.04,0.0163,$2.51,$2.43,"9,959,917",$4.1B,0.4368
VUL.AX,Vulcan Energy Resources Ltd,$3.88,0.01,0.0026,$3.98,$3.86,"1,492,126",$1.9B,0.0103
WAM.AX,WAM Capital Ltd,$1.735,0.015,0.0087,$1.75,$1.735,"1,068,664",$2B,0.1194
WLE.AX,Wam Leaders Ltd,$1.32,-0.005,-0.38%,$1.33,$1.32,"541,149",$1.8B,0.082
SOL.AX,Washington H. Soul Pattinson and Company Ltd,$42.54,0.37,0.0088,$43.085,$42.39,"653,341",$16B,0.1448
WES.AX,Wesfarmers Ltd,$73.44,0.52,0.0071,$73.95,$73.02,"1,035,091",$83B,-6.55%
WAF.AX,West African Resources Ltd,$3.02,0.07,0.0237,$3.10,$2.96,"4,862,110",$3.5B,0.3074
WGX.AX,Westgold Resources Ltd,$5.36,0.01,0.0019,$5.67,$5.30,"3,609,991",$5.1B,0.935
WBC.AX,Westpac Banking Corporation,$38.45,-0.05,-0.13%,$38.66,$38.06,"4,457,538",$132B,0.1715
WHC.AX,Whitehaven Coal Ltd,$8.63,0.22,0.0262,$8.69,$8.35,"4,466,327",$7.1B,0.747
WTC.AX,Wisetech Global Ltd,$43.73,1.01,0.0236,$44.145,$43.13,"842,507",$15B,-53.66%
WDS.AX,Woodside Energy Group Ltd,$33.12,-0.43,-1.28%,$33.45,$32.92,"5,068,083",$63B,0.6396
WOW.AX,Woolworths Group Ltd,$34.15,-0.24,-0.70%,$34.77,$33.925,"3,440,868",$42B,0.0692
WOR.AX,Worley Ltd,$12.07,0.25,0.0212,$12.125,$11.88,"2,023,336",$5.9B,-1.23%
XRO.AX,Xero Ltd,$80.57,0.53,0.0066,$82.50,$79.61,"707,454",$14B,-52.47%
YAL.AX,Yancoal Australia Ltd,$7.68,0.04,0.0052,$7.72,$7.50,"1,275,281",$10B,0.5515
ZIP.AX,ZIP Co Ltd,$2.41,-0.02,-0.82%,$2.495,$2.37,"14,390,732",$3B,
